In real time|People who come|People in queue(first/second)|People who left|Transported People|Gondola status
(7, 0, 59)|0|[2, 2]|1|0|status.moving
(7, 1, 0)|0|[2, 2]|1|0|status.moving
(7, 1, 1)|0|[2, 2]|1|0|status.moving
(7, 1, 2)|0|[2, 2]|1|0|status.moving
(7, 1, 3)|0|[2, 2]|1|0|status.moving
(7, 1, 4)|0|[2, 2]|1|0|status.moving
(7, 1, 5)|0|[2, 2]|1|0|status.moving
(7, 1, 6)|0|[2, 2]|1|0|status.moving
(7, 1, 7)|0|[2, 2]|1|0|status.moving
(7, 1, 8)|0|[2, 2]|1|0|status.moving
(7, 1, 9)|0|[2, 2]|1|0|status.moving
(7, 1, 10)|0|[2, 2]|1|0|status.moving
(7, 1, 11)|0|[2, 2]|1|0|status.moving
(7, 1, 12)|0|[2, 2]|1|0|status.moving
(7, 1, 13)|0|[2, 2]|1|0|status.moving
(7, 1, 14)|0|[2, 2]|1|0|status.moving
(7, 1, 15)|0|[2, 2]|1|0|status.moving
(7, 1, 16)|0|[2, 2]|1|0|status.moving
(7, 1, 17)|0|[2, 2]|1|0|status.moving
(7, 1, 18)|0|[2, 2]|1|0|status.moving
(7, 1, 19)|0|[2, 2]|1|0|status.moving
(7, 1, 20)|0|[2, 2]|1|0|status.moving
(7, 1, 21)|0|[2, 2]|1|0|status.moving
(7, 1, 22)|0|[2, 2]|1|0|status.moving
(7, 1, 23)|0|[2, 2]|1|0|status.moving
(7, 1, 24)|0|[2, 2]|1|0|status.moving
(7, 1, 25)|0|[2, 2]|1|0|status.moving
(7, 1, 26)|0|[2, 2]|1|0|status.moving
(7, 1, 27)|0|[2, 2]|1|0|status.moving
(7, 1, 28)|0|[2, 2]|1|0|status.moving
(7, 1, 29)|0|[2, 2]|1|0|status.moving
(7, 1, 30)|0|[2, 2]|1|0|status.moving
(7, 1, 31)|0|[2, 2]|1|0|status.moving
(7, 1, 32)|0|[2, 2]|1|0|status.moving
(7, 1, 33)|0|[2, 2]|1|0|status.moving
(7, 1, 34)|0|[2, 2]|1|0|status.moving
(7, 1, 35)|0|[2, 2]|1|0|status.moving
(7, 1, 36)|0|[2, 2]|1|0|status.moving
(7, 1, 37)|0|[2, 2]|1|0|status.moving
(7, 1, 38)|0|[1, 2]|2|0|status.moving
(7, 1, 39)|0|[1, 2]|2|0|status.moving
(7, 1, 40)|0|[1, 2]|2|0|status.moving
(7, 1, 41)|0|[1, 2]|2|0|status.moving
(7, 1, 42)|0|[1, 2]|2|0|status.moving
(7, 1, 43)|0|[1, 2]|2|0|status.moving
(7, 1, 44)|0|[1, 2]|2|0|status.moving
(7, 1, 45)|0|[1, 2]|2|0|status.moving
(7, 1, 46)|0|[1, 2]|2|0|status.moving
(7, 1, 47)|0|[1, 2]|2|0|status.moving
(7, 1, 48)|0|[1, 2]|2|0|status.moving
(7, 1, 49)|0|[1, 2]|2|0|status.moving
(7, 1, 50)|0|[1, 2]|2|0|status.moving
(7, 1, 51)|0|[1, 2]|2|1|status.waiting
(7, 1, 52)|0|[0, 0]|2|4|status.waiting
(7, 1, 53)|0|[0, 0]|2|4|status.waiting
(7, 1, 54)|0|[0, 0]|2|4|status.waiting
(7, 1, 55)|0|[0, 0]|2|4|status.waiting
(7, 1, 56)|0|[0, 0]|2|4|status.waiting
(7, 1, 57)|0|[0, 0]|2|4|status.waiting
(7, 1, 58)|0|[0, 0]|2|4|status.waiting
(7, 1, 59)|0|[0, 0]|2|4|status.waiting
(7, 2, 0)|0|[0, 0]|2|4|status.waiting
(7, 2, 1)|0|[0, 0]|2|4|status.waiting
(7, 2, 2)|0|[0, 0]|2|4|status.waiting
(7, 2, 3)|0|[0, 0]|2|4|status.waiting
(7, 2, 4)|0|[0, 0]|2|4|status.waiting
(7, 2, 5)|0|[0, 0]|2|4|status.waiting
(7, 2, 6)|0|[0, 0]|2|4|status.waiting
(7, 2, 7)|0|[0, 0]|2|4|status.waiting
(7, 2, 8)|0|[0, 0]|2|4|status.waiting
(7, 2, 9)|0|[0, 0]|2|4|status.waiting
(7, 2, 10)|0|[0, 0]|2|4|status.waiting
(7, 2, 11)|0|[0, 0]|2|4|status.waiting
(7, 2, 12)|0|[0, 0]|2|4|status.waiting
(7, 2, 13)|0|[0, 0]|2|4|status.waiting
