Symulation time|Real time|People who come|People in queue(first/second)|People who left|Transported People
25272|(7, 1, 12)|0|[1, 2]|0|2
25273|(7, 1, 13)|0|[1, 2]|0|2
25274|(7, 1, 14)|0|[1, 2]|0|2
25275|(7, 1, 15)|0|[1, 2]|0|2
25276|(7, 1, 16)|0|[1, 1]|1|2
25277|(7, 1, 17)|0|[1, 1]|1|2
25278|(7, 1, 18)|0|[1, 1]|1|2
25279|(7, 1, 19)|0|[1, 1]|1|2
25280|(7, 1, 20)|0|[1, 1]|1|2
25281|(7, 1, 21)|0|[1, 1]|1|2
25282|(7, 1, 22)|0|[1, 1]|1|2
25283|(7, 1, 23)|0|[1, 1]|1|2
25284|(7, 1, 24)|0|[1, 1]|1|2
25285|(7, 1, 25)|0|[1, 1]|1|2
25286|(7, 1, 26)|0|[1, 1]|1|2
25287|(7, 1, 27)|0|[1, 1]|1|2
25288|(7, 1, 28)|0|[1, 1]|1|2
25289|(7, 1, 29)|0|[1, 1]|1|2
25290|(7, 1, 30)|0|[1, 1]|1|2
25291|(7, 1, 31)|0|[1, 1]|1|2
25292|(7, 1, 32)|0|[1, 1]|1|2
25293|(7, 1, 33)|0|[1, 1]|1|4
25294|(7, 1, 34)|0|[1, 1]|1|4
25295|(7, 1, 35)|1|[1, 0]|1|4
25296|(7, 1, 36)|0|[0, 0]|1|4
25297|(7, 1, 37)|0|[0, 0]|1|4
25298|(7, 1, 38)|0|[0, 0]|1|4
25299|(7, 1, 39)|0|[0, 0]|1|4
25300|(7, 1, 40)|0|[0, 0]|1|4
25301|(7, 1, 41)|0|[0, 0]|1|4
25302|(7, 1, 42)|0|[0, 0]|1|4
25303|(7, 1, 43)|0|[0, 0]|1|4
25304|(7, 1, 44)|0|[0, 0]|1|4
25305|(7, 1, 45)|1|[0, 1]|1|4
25306|(7, 1, 46)|1|[0, 2]|1|4
25307|(7, 1, 47)|0|[0, 2]|1|4
25308|(7, 1, 48)|0|[0, 2]|1|4
25309|(7, 1, 49)|0|[0, 2]|1|4
25310|(7, 1, 50)|0|[0, 2]|1|4
25311|(7, 1, 51)|0|[0, 2]|1|4
25312|(7, 1, 52)|0|[0, 2]|1|4
25313|(7, 1, 53)|0|[0, 2]|1|4
25314|(7, 1, 54)|0|[0, 2]|1|4
25315|(7, 1, 55)|0|[0, 2]|1|4
25316|(7, 1, 56)|0|[0, 2]|1|4
25317|(7, 1, 57)|1|[1, 2]|1|4
25318|(7, 1, 58)|0|[1, 2]|1|4
25319|(7, 1, 59)|0|[1, 2]|1|4
25320|(7, 2, 0)|0|[1, 2]|1|4
25321|(7, 2, 1)|0|[1, 2]|1|4
25322|(7, 2, 2)|0|[1, 2]|1|4
25323|(7, 2, 3)|0|[1, 2]|1|4
25324|(7, 2, 4)|0|[1, 2]|1|4
25325|(7, 2, 5)|0|[1, 2]|1|4
25326|(7, 2, 6)|0|[1, 2]|1|4
25327|(7, 2, 7)|0|[1, 2]|1|4
25328|(7, 2, 8)|0|[1, 2]|1|4
25329|(7, 2, 9)|0|[1, 2]|1|4
25330|(7, 2, 10)|0|[1, 2]|1|4
25331|(7, 2, 11)|0|[1, 2]|1|4
25332|(7, 2, 12)|0|[1, 2]|1|4
25333|(7, 2, 13)|0|[1, 2]|1|4
25334|(7, 2, 14)|0|[1, 2]|1|4
25335|(7, 2, 15)|0|[1, 2]|1|4
25336|(7, 2, 16)|0|[1, 2]|1|4
25337|(7, 2, 17)|0|[1, 2]|1|4
25338|(7, 2, 18)|0|[1, 2]|1|4
25339|(7, 2, 19)|0|[1, 2]|1|4
25340|(7, 2, 20)|0|[1, 2]|1|7
25341|(7, 2, 21)|0|[1, 2]|1|10
25342|(7, 2, 22)|0|[0, 0]|1|10
25343|(7, 2, 23)|0|[0, 0]|1|10
25344|(7, 2, 24)|0|[0, 0]|1|10
25345|(7, 2, 25)|0|[0, 0]|1|10
25346|(7, 2, 26)|0|[0, 0]|1|10
25347|(7, 2, 27)|0|[0, 0]|1|10
25348|(7, 2, 28)|0|[0, 0]|1|10
25349|(7, 2, 29)|0|[0, 0]|1|10
25350|(7, 2, 30)|0|[0, 0]|1|10
25351|(7, 2, 31)|0|[0, 0]|1|10
25352|(7, 2, 32)|0|[0, 0]|1|10
25353|(7, 2, 33)|0|[0, 0]|1|10
25354|(7, 2, 34)|0|[0, 0]|1|10
25355|(7, 2, 35)|0|[0, 0]|1|10
25356|(7, 2, 36)|0|[0, 0]|1|10
25357|(7, 2, 37)|0|[0, 0]|1|10
25358|(7, 2, 38)|0|[0, 0]|1|10
25359|(7, 2, 39)|0|[0, 0]|1|10
25360|(7, 2, 40)|0|[0, 0]|1|10
25361|(7, 2, 41)|0|[0, 0]|1|10
25362|(7, 2, 42)|0|[0, 0]|1|10
25363|(7, 2, 43)|0|[0, 0]|1|10
25364|(7, 2, 44)|0|[0, 0]|1|10
25365|(7, 2, 45)|0|[0, 0]|1|10
25366|(7, 2, 46)|0|[0, 0]|1|10
25367|(7, 2, 47)|0|[0, 0]|1|10
25368|(7, 2, 48)|0|[0, 0]|1|10
25369|(7, 2, 49)|0|[0, 0]|1|10
25370|(7, 2, 50)|0|[0, 0]|1|10
25371|(7, 2, 51)|0|[0, 0]|1|10
25372|(7, 2, 52)|0|[0, 0]|1|10
25373|(7, 2, 53)|0|[0, 0]|1|10
25374|(7, 2, 54)|0|[0, 0]|1|10
25375|(7, 2, 55)|0|[0, 0]|1|10
25376|(7, 2, 56)|0|[0, 0]|1|10
25377|(7, 2, 57)|0|[0, 0]|1|10
25378|(7, 2, 58)|0|[0, 0]|1|10
25379|(7, 2, 59)|0|[0, 0]|1|10
25380|(7, 3, 0)|0|[0, 0]|1|10
25381|(7, 3, 1)|0|[0, 0]|1|10
25382|(7, 3, 2)|0|[0, 0]|1|10
25383|(7, 3, 3)|0|[0, 0]|1|10
25384|(7, 3, 4)|0|[0, 0]|1|10
25385|(7, 3, 5)|0|[0, 0]|1|10
25386|(7, 3, 6)|0|[0, 0]|1|10
25387|(7, 3, 7)|0|[0, 0]|1|10
25388|(7, 3, 8)|0|[0, 0]|1|10
25389|(7, 3, 9)|0|[0, 0]|1|10
25390|(7, 3, 10)|0|[0, 0]|1|10
25391|(7, 3, 11)|0|[0, 0]|1|10
25392|(7, 3, 12)|0|[0, 0]|1|10
25393|(7, 3, 13)|0|[0, 0]|1|10
25394|(7, 3, 14)|1|[1, 0]|1|10
25395|(7, 3, 15)|0|[0, 0]|1|10
25396|(7, 3, 16)|0|[0, 0]|1|10
25397|(7, 3, 17)|0|[0, 0]|1|10
25398|(7, 3, 18)|0|[0, 0]|1|10
25399|(7, 3, 19)|0|[0, 0]|1|10
25400|(7, 3, 20)|0|[0, 0]|1|10
25401|(7, 3, 21)|0|[0, 0]|1|10
25402|(7, 3, 22)|0|[0, 0]|1|10
25403|(7, 3, 23)|0|[0, 0]|1|10
25404|(7, 3, 24)|1|[1, 0]|1|10
25405|(7, 3, 25)|0|[0, 0]|1|10
25406|(7, 3, 26)|0|[0, 0]|1|10
25407|(7, 3, 27)|0|[0, 0]|1|10
25408|(7, 3, 28)|0|[0, 0]|1|10
25409|(7, 3, 29)|0|[0, 0]|1|10
25410|(7, 3, 30)|0|[0, 0]|1|10
25411|(7, 3, 31)|0|[0, 0]|1|10
25412|(7, 3, 32)|0|[0, 0]|1|10
25413|(7, 3, 33)|0|[0, 0]|1|10
25414|(7, 3, 34)|0|[0, 0]|1|10
25415|(7, 3, 35)|0|[0, 0]|1|10
25416|(7, 3, 36)|0|[0, 0]|1|10
25417|(7, 3, 37)|0|[0, 0]|1|10
25418|(7, 3, 38)|0|[0, 0]|1|10
25419|(7, 3, 39)|0|[0, 0]|1|10
25420|(7, 3, 40)|0|[0, 0]|1|10
25421|(7, 3, 41)|0|[0, 0]|1|10
25422|(7, 3, 42)|0|[0, 0]|1|10
25423|(7, 3, 43)|0|[0, 0]|1|10
25424|(7, 3, 44)|0|[0, 0]|1|10
25425|(7, 3, 45)|0|[0, 0]|1|10
25426|(7, 3, 46)|0|[0, 0]|1|10
25427|(7, 3, 47)|0|[0, 0]|1|10
25428|(7, 3, 48)|0|[0, 0]|1|10
25429|(7, 3, 49)|0|[0, 0]|1|10
25430|(7, 3, 50)|0|[0, 0]|1|10
25431|(7, 3, 51)|0|[0, 0]|1|10
25432|(7, 3, 52)|0|[0, 0]|1|10
25433|(7, 3, 53)|0|[0, 0]|1|10
25434|(7, 3, 54)|0|[0, 0]|1|10
25435|(7, 3, 55)|0|[0, 0]|1|10
25436|(7, 3, 56)|0|[0, 0]|1|10
25437|(7, 3, 57)|0|[0, 0]|1|10
25438|(7, 3, 58)|0|[0, 0]|1|10
25439|(7, 3, 59)|0|[0, 0]|1|10
25440|(7, 4, 0)|0|[0, 0]|1|10
25441|(7, 4, 1)|1|[1, 0]|1|10
25442|(7, 4, 2)|0|[1, 0]|1|10
25443|(7, 4, 3)|0|[1, 0]|1|10
25444|(7, 4, 4)|0|[1, 0]|1|10
25445|(7, 4, 5)|0|[1, 0]|1|10
25446|(7, 4, 6)|0|[1, 0]|1|10
25447|(7, 4, 7)|0|[1, 0]|1|10
25448|(7, 4, 8)|0|[1, 0]|1|10
25449|(7, 4, 9)|0|[1, 0]|1|12
25450|(7, 4, 10)|0|[1, 0]|1|12
25451|(7, 4, 11)|0|[0, 0]|1|12
25452|(7, 4, 12)|0|[0, 0]|1|12
25453|(7, 4, 13)|0|[0, 0]|1|12
25454|(7, 4, 14)|0|[0, 0]|1|12
25455|(7, 4, 15)|0|[0, 0]|1|12
25456|(7, 4, 16)|0|[0, 0]|1|12
25457|(7, 4, 17)|0|[0, 0]|1|12
25458|(7, 4, 18)|0|[0, 0]|1|12
25459|(7, 4, 19)|0|[0, 0]|1|12
25460|(7, 4, 20)|0|[0, 0]|1|12
25461|(7, 4, 21)|0|[0, 0]|1|12
25462|(7, 4, 22)|0|[0, 0]|1|12
25463|(7, 4, 23)|1|[1, 0]|1|12
25464|(7, 4, 24)|0|[1, 0]|1|12
25465|(7, 4, 25)|0|[1, 0]|1|12
25466|(7, 4, 26)|0|[1, 0]|1|12
25467|(7, 4, 27)|0|[1, 0]|1|12
25468|(7, 4, 28)|1|[2, 0]|1|12
25469|(7, 4, 29)|0|[2, 0]|1|12
25470|(7, 4, 30)|0|[2, 0]|1|12
25471|(7, 4, 31)|0|[2, 0]|1|12
25472|(7, 4, 32)|0|[2, 0]|1|12
25473|(7, 4, 33)|0|[2, 0]|1|12
25474|(7, 4, 34)|0|[2, 0]|1|12
25475|(7, 4, 35)|0|[2, 0]|1|12
25476|(7, 4, 36)|0|[2, 0]|1|12
25477|(7, 4, 37)|0|[2, 0]|1|12
25478|(7, 4, 38)|0|[2, 0]|1|12
25479|(7, 4, 39)|0|[2, 0]|1|12
25480|(7, 4, 40)|0|[2, 0]|1|12
25481|(7, 4, 41)|0|[2, 0]|1|12
25482|(7, 4, 42)|0|[2, 0]|1|12
25483|(7, 4, 43)|0|[2, 0]|1|12
25484|(7, 4, 44)|0|[2, 0]|1|12
25485|(7, 4, 45)|0|[2, 0]|1|12
25486|(7, 4, 46)|0|[2, 0]|1|12
25487|(7, 4, 47)|0|[2, 0]|1|12
25488|(7, 4, 48)|0|[2, 0]|1|12
25489|(7, 4, 49)|0|[2, 0]|1|12
25490|(7, 4, 50)|0|[2, 0]|1|12
25491|(7, 4, 51)|0|[2, 0]|1|12
25492|(7, 4, 52)|0|[2, 0]|1|12
25493|(7, 4, 53)|0|[2, 0]|1|12
25494|(7, 4, 54)|0|[2, 0]|1|12
25495|(7, 4, 55)|0|[2, 0]|1|12
25496|(7, 4, 56)|0|[2, 0]|1|12
25497|(7, 4, 57)|0|[2, 0]|1|12
25498|(7, 4, 58)|0|[2, 0]|1|12
25499|(7, 4, 59)|0|[2, 0]|1|12
25500|(7, 5, 0)|0|[2, 0]|1|12
25501|(7, 5, 1)|0|[2, 0]|1|12
25502|(7, 5, 2)|0|[2, 0]|1|12
25503|(7, 5, 3)|0|[2, 0]|1|12
25504|(7, 5, 4)|0|[2, 0]|1|12
25505|(7, 5, 5)|0|[2, 0]|1|13
25506|(7, 5, 6)|0|[2, 0]|1|13
25507|(7, 5, 7)|1|[1, 0]|1|13
25508|(7, 5, 8)|0|[1, 0]|1|13
25509|(7, 5, 9)|0|[1, 0]|1|13
25510|(7, 5, 10)|0|[1, 0]|1|13
25511|(7, 5, 11)|0|[1, 0]|1|13
